# X, Y, VelX, VelY |[ 18.;130.;  0.;  0.][304.;342.;126.;106.]
0.12500,0.63743,-0.06349,-0.05660
0.09868,0.61988,-0.04762,-0.07547
0.07895,0.59649,-0.04762,-0.11321
0.05921,0.56140,-0.03175,-0.07547
0.04605,0.53801,-0.01587,-0.07547
0.03947,0.51462,-0.01587,-0.09434
0.03289,0.48538,-0.01587,-0.07547
0.02632,0.46199,0.00000,-0.07547
0.02632,0.43860,0.00000,-0.07547
0.02632,0.41520,0.00000,-0.03774
0.02632,0.40351,0.01587,-0.05660
0.03289,0.38596,0.00000,-0.01887
0.03289,0.38012,0.01587,-0.03774
0.03947,0.36842,0.00000,0.01887
0.03947,0.37427,0.00000,0.01887
0.03947,0.38012,0.00000,0.03774
0.03947,0.39181,0.00000,0.07547
0.03947,0.41520,0.00000,0.05660
0.03947,0.43275,-0.01587,0.11321
0.03289,0.46784,0.01587,0.05660
0.03947,0.48538,0.00000,0.16981
0.03947,0.53801,0.01587,0.09434
0.04605,0.56725,0.04762,0.18868
0.06579,0.62573,0.01587,0.07547
0.07237,0.64912,0.04762,0.15094
0.09211,0.69591,0.07937,0.18868
0.12500,0.75439,0.07937,0.13208
0.15789,0.79532,0.07937,0.09434
0.19079,0.82456,0.09524,0.09434
0.23026,0.85380,0.11111,0.07547
0.27632,0.87719,0.12698,0.03774
0.32895,0.88889,0.06349,0.00000
0.35526,0.88889,0.14286,0.00000
0.41447,0.88889,0.11111,-0.03774
0.46053,0.87719,0.07937,-0.07547
0.49342,0.85380,0.11111,-0.09434
0.53947,0.82456,0.06349,-0.11321
0.56579,0.78947,0.04762,-0.05660
0.58553,0.77193,0.06349,-0.15094
0.61184,0.72515,0.06349,-0.13208
0.63816,0.68421,0.06349,-0.15094
0.66447,0.63743,0.07937,-0.22642
0.69737,0.56725,0.03175,-0.15094
0.71053,0.52047,0.01587,-0.07547
0.71711,0.49708,0.03175,-0.15094
0.73026,0.45029,0.03175,-0.22642
0.74342,0.38012,0.03175,-0.11321
0.75658,0.34503,0.01587,-0.13208
0.76316,0.30409,0.01587,-0.07547
0.76974,0.28070,0.01587,-0.11321
0.77632,0.24561,0.01587,-0.11321
0.78289,0.21053,0.01587,-0.07547
0.78947,0.18713,0.00000,-0.09434
0.78947,0.15789,0.00000,-0.05660
