# X, Y, VelX, VelY |[481.;224.;  0.;  0.][759.;589.;741.;553.]
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,0.00000,0.00000
0.95125,0.83022,-0.93657,-0.25136
0.03689,0.59423,0.00270,0.00542
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.00000,0.00000
0.03953,0.59932,0.62213,-0.50271
0.64690,0.12733,-0.00540,0.00362
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
