# X, Y, VelX, VelY |[ 22.;154.;  0.;  0.][276.;318.; 22.; 26.]
0.07246,0.74214,0.09091,0.15385
0.07971,0.75472,0.09091,0.23077
0.08696,0.77358,0.18182,0.15385
0.10145,0.78616,0.18182,0.23077
0.11594,0.80503,0.18182,0.15385
0.13043,0.81761,0.18182,0.07692
0.14493,0.82390,0.18182,0.15385
0.15942,0.83648,0.18182,0.15385
0.17391,0.84906,0.27273,0.07692
0.19565,0.85535,0.27273,0.15385
0.21739,0.86792,0.27273,0.15385
0.23913,0.88050,0.36364,0.07692
0.26812,0.88679,0.36364,0.00000
0.29710,0.88679,0.27273,0.15385
0.31884,0.89937,0.45455,-0.07692
0.35507,0.89308,0.27273,0.00000
0.37681,0.89308,0.45455,0.07692
0.41304,0.89937,0.54545,0.00000
0.45652,0.89937,0.54545,-0.23077
0.50000,0.88050,0.54545,-0.15385
0.54348,0.86792,0.45455,-0.23077
0.57971,0.84906,0.27273,-0.07692
0.60145,0.84277,0.45455,-0.23077
0.63768,0.82390,0.45455,-0.38462
0.67391,0.79245,0.72727,-0.61538
0.73188,0.74214,0.36364,-0.46154
0.76087,0.70440,0.45455,-0.46154
0.79710,0.66667,0.18182,-0.15385
0.81159,0.65409,0.27273,-0.53846
0.83333,0.61006,0.36364,-0.46154
0.86232,0.57233,0.36364,-0.53846
0.89130,0.52830,0.27273,-0.61538
0.91304,0.47799,0.36364,-0.84615
0.94203,0.40881,0.18182,-0.53846
0.95652,0.36478,0.09091,-0.30769
0.96377,0.33962,0.09091,-0.53846
0.97101,0.29560,0.09091,-0.53846
0.97826,0.25157,0.09091,-0.53846
0.98551,0.20755,0.09091,-0.30769
0.99275,0.18239,0.00000,-0.38462
0.99275,0.15094,0.00000,-0.30769
0.99275,0.12579,0.00000,-0.23077
0.99275,0.10692,0.00000,-0.23077
0.99275,0.08805,0.09091,-0.07692
1.00000,0.08176,-0.09091,-0.23077
0.99275,0.06289,0.00000,-0.07692
0.99275,0.05660,0.00000,0.00000
0.99275,0.05660,-0.09091,-0.07692
0.98551,0.05031,0.00000,0.07692
0.98551,0.05660,-0.09091,0.00000
0.97826,0.05660,0.09091,0.07692
0.98551,0.06289,0.00000,0.07692
0.98551,0.06918,-0.09091,0.15385
0.97826,0.08176,0.18182,0.23077
0.99275,0.10063,0.00000,0.15385
0.99275,0.11321,0.00000,0.23077
0.99275,0.13208,-0.09091,0.30769
0.98551,0.15723,0.09091,0.23077
0.99275,0.17610,0.00000,0.30769
0.99275,0.20126,0.00000,0.23077
0.99275,0.22013,0.00000,0.30769
0.99275,0.24528,-0.09091,0.30769
0.98551,0.27044,0.00000,0.30769
0.98551,0.29560,-0.09091,0.23077
0.97826,0.31447,-0.18182,0.38462
0.96377,0.34591,0.00000,0.30769
0.96377,0.37107,-0.18182,0.38462
0.94928,0.40252,0.09091,0.38462
0.95652,0.43396,-0.09091,0.15385
0.94928,0.44654,-0.09091,0.46154
0.94203,0.48428,-0.09091,0.30769
0.93478,0.50943,-0.18182,0.46154
0.92029,0.54717,-0.18182,0.46154
0.90580,0.58491,-0.18182,0.38462
0.89130,0.61635,-0.27273,0.46154
0.86957,0.65409,-0.27273,0.46154
0.84783,0.69182,-0.18182,0.23077
0.83333,0.71069,-0.27273,0.30769
0.81159,0.73585,-0.36364,0.38462
0.78261,0.76730,-0.36364,0.38462
0.75362,0.79874,-0.45455,0.38462
0.71739,0.83019,-0.72727,0.38462
0.65942,0.86164,-0.18182,0.07692
0.64493,0.86792,-0.63636,0.38462
0.59420,0.89937,-0.27273,0.07692
0.57246,0.90566,-0.54545,0.15385
0.52899,0.91824,-0.45455,0.07692
0.49275,0.92453,-0.27273,0.07692
0.47101,0.93082,-0.36364,0.00000
0.44203,0.93082,-0.45455,0.00000
0.40580,0.93082,-0.36364,-0.07692
0.37681,0.92453,-0.36364,0.00000
0.34783,0.92453,-0.36364,-0.07692
0.31884,0.91824,-0.36364,-0.15385
0.28986,0.90566,-0.36364,-0.07692
0.26087,0.89937,-0.27273,-0.07692
0.23913,0.89308,-0.27273,-0.23077
0.21739,0.87421,-0.27273,-0.07692
0.19565,0.86792,-0.36364,-0.23077
0.16667,0.84906,-0.27273,-0.15385
0.14493,0.83648,-0.18182,-0.23077
0.13043,0.81761,-0.18182,-0.23077
0.11594,0.79874,-0.27273,-0.15385
0.09420,0.78616,-0.18182,-0.15385
0.07971,0.77358,-0.09091,-0.23077
0.07246,0.75472,-0.18182,-0.23077
0.05797,0.73585,-0.09091,-0.23077
0.05072,0.71698,-0.09091,-0.15385
0.04348,0.70440,-0.09091,-0.23077
0.03623,0.68553,-0.09091,-0.15385
0.02899,0.67296,-0.09091,-0.15385
0.02174,0.66038,0.00000,-0.23077
0.02174,0.64151,0.00000,-0.07692
0.02174,0.63522,0.00000,-0.07692
0.02174,0.62893,0.00000,-0.07692
0.02174,0.62264,0.00000,0.07692
0.02174,0.62893,0.09091,0.00000
0.02899,0.62893,0.09091,0.15385
0.03623,0.64151,0.09091,0.15385
0.04348,0.65409,0.00000,0.15385
0.04348,0.66667,0.09091,0.15385
0.05072,0.67925,0.09091,0.23077
0.05797,0.69811,0.09091,0.23077
0.06522,0.71698,0.27273,0.30769
0.08696,0.74214,0.18182,0.38462
0.10145,0.77358,0.09091,0.15385
0.10870,0.78616,0.27273,0.38462
