# X, Y, VelX, VelY |[169.; 47.;  0.;  0.][293.;307.; 27.; 23.]
0.11263,0.37459,0.03704,-0.47826
0.11604,0.33876,0.00000,-0.47826
0.11604,0.30293,0.07407,-0.47826
0.12287,0.26710,0.07407,-0.39130
0.12969,0.23779,0.07407,-0.34783
0.13652,0.21173,0.11111,-0.30435
0.14676,0.18893,0.11111,-0.17391
0.15700,0.17590,0.14815,-0.13043
0.17065,0.16612,0.18519,0.00000
0.18771,0.16612,0.25926,0.04348
0.21160,0.16938,0.29630,0.08696
0.23891,0.17590,0.33333,0.08696
0.26962,0.18241,0.29630,0.00000
0.29693,0.18241,0.33333,0.08696
0.32765,0.18893,0.37037,0.00000
0.36177,0.18893,0.40741,0.00000
0.39932,0.18893,0.44444,0.04348
0.44027,0.19218,0.44444,0.00000
0.48123,0.19218,0.48148,0.04348
0.52560,0.19544,0.48148,0.08696
0.56997,0.20195,0.44444,0.04348
0.61092,0.20521,0.48148,0.00000
0.65529,0.20521,0.40741,0.04348
0.69283,0.20847,0.40741,0.00000
0.73038,0.20847,0.37037,0.00000
0.76451,0.20847,0.33333,-0.04348
0.79522,0.20521,0.33333,0.00000
0.82594,0.20521,0.29630,0.00000
0.85324,0.20521,0.25926,-0.04348
0.87713,0.20195,0.25926,0.00000
0.90102,0.20195,0.25926,0.00000
0.92491,0.20195,0.22222,0.00000
0.94539,0.20195,0.22222,0.00000
0.96587,0.20195,0.11111,0.04348
0.97611,0.20521,0.07407,0.04348
0.98294,0.20847,0.00000,0.08696
0.98294,0.21498,-0.03704,0.17391
0.97952,0.22801,-0.07407,0.21739
0.97270,0.24430,-0.14815,0.30435
0.95904,0.26710,-0.14815,0.34783
0.94539,0.29316,-0.11111,0.43478
0.93515,0.32573,-0.11111,0.52174
0.92491,0.36482,0.01852,0.60870
0.92662,0.41042,-0.20370,0.47826
0.90785,0.44625,-0.03704,0.56522
0.90444,0.48860,-0.07407,0.52174
0.89761,0.52769,0.00000,0.52174
0.89761,0.56678,-0.03704,0.52174
0.89420,0.60586,0.00000,0.52174
0.89420,0.64495,0.00000,0.43478
0.89420,0.67752,0.00000,0.43478
0.89420,0.71010,0.07407,0.47826
0.90102,0.74593,0.07407,0.43478
0.90785,0.77850,0.07407,0.39130
0.91468,0.80782,0.00000,0.39130
0.91468,0.83713,0.03704,0.39130
0.91809,0.86645,0.03704,0.34783
0.92150,0.89251,0.03704,0.34783
0.92491,0.91857,0.07407,0.30435
0.93174,0.94137,0.00000,0.17391
0.93174,0.95440,-0.07407,0.13043
0.92491,0.96417,-0.07407,0.04348
0.91809,0.96743,-0.14815,-0.08696
0.90444,0.96091,-0.22222,-0.13043
0.88396,0.95114,-0.29630,-0.13043
0.85666,0.94137,-0.40741,-0.17391
0.81911,0.92834,-0.40741,-0.08696
0.78157,0.92182,-0.40741,-0.08696
0.74403,0.91531,-0.46296,0.00000
0.70137,0.91531,-0.35185,-0.02174
0.66894,0.91368,-0.66667,-0.15217
0.60751,0.90228,-0.42593,0.06522
0.56826,0.90717,-0.40741,-0.02174
0.53072,0.90554,-0.48148,-0.08696
0.48635,0.89902,-0.44444,0.15217
0.44539,0.91042,-0.42593,-0.28261
0.40614,0.88925,-0.42593,0.08696
0.36689,0.89577,-0.48148,-0.08696
0.32253,0.88925,-0.29630,0.15217
0.29522,0.90065,-0.33333,-0.06522
0.26451,0.89577,-0.46296,-0.06522
0.22184,0.89088,-0.31481,0.00000
0.19283,0.89088,-0.35185,-0.02174
0.16041,0.88925,-0.22222,-0.04348
0.13993,0.88599,-0.22222,-0.04348
0.11945,0.88274,-0.11111,-0.04348
0.10922,0.87948,-0.11111,-0.13043
0.09898,0.86971,-0.03704,-0.13043
0.09556,0.85993,0.00000,-0.21739
0.09556,0.84365,0.00000,-0.26087
0.09556,0.82410,0.03704,-0.34783
0.09898,0.79805,0.00000,-0.43478
0.09898,0.76547,0.00000,-0.43478
0.09898,0.73290,0.00000,-0.52174
0.09898,0.69381,-0.03704,-0.52174
0.09556,0.65472,-0.03704,-0.56522
0.09215,0.61238,-0.03704,-0.56522
0.08874,0.57003,0.03704,-0.65217
0.09215,0.52117,0.07407,-0.60870
0.09898,0.47557,0.03704,-0.60870
0.10239,0.42997,0.07407,-0.60870
0.10922,0.38436,0.07407,-0.52174
0.11604,0.34528,0.11111,-0.52174
0.12628,0.30619,0.07407,-0.47826
0.13311,0.27036,0.14815,-0.43478
0.14676,0.23779,0.07407,-0.39130
0.15358,0.20847,0.07407,-0.34783
0.16041,0.18241,0.11111,-0.30435
0.17065,0.15961,0.14815,-0.26087
0.18430,0.14007,0.07407,-0.17391
0.19113,0.12704,0.14815,-0.17391
0.20478,0.11401,0.18519,-0.08696
0.22184,0.10749,0.18519,-0.04348
0.23891,0.10423,0.22222,0.00000
0.25939,0.10423,0.29630,0.04348
0.28669,0.10749,0.33333,0.04348
0.31741,0.11075,0.33333,0.04348
