# X, Y, VelX, VelY |[ 52.;208.;  0.;  0.][502.; 37.; 15.;  2.]
0.61554,0.70270,-0.40000,-0.50000
0.60359,0.67568,-0.33333,0.00000
0.59363,0.67568,-0.33333,-0.50000
0.58367,0.64865,-0.40000,0.00000
0.57171,0.64865,-0.46667,-0.50000
0.55777,0.62162,-0.33333,0.50000
0.54781,0.64865,-0.46667,0.00000
0.53386,0.64865,0.00000,0.00000
0.53386,0.64865,-1.00000,0.50000
0.50398,0.67568,-0.33333,0.50000
0.49402,0.70270,-0.60000,0.00000
0.47610,0.70270,-0.60000,0.00000
0.45817,0.70270,-0.46667,0.50000
0.44422,0.72973,-0.46667,0.00000
0.43028,0.72973,-0.40000,0.00000
0.41833,0.72973,-0.40000,0.00000
0.40637,0.72973,-0.46667,0.00000
0.39243,0.72973,-0.33333,0.00000
0.38247,0.72973,-0.40000,-1.00000
0.37052,0.67568,-0.20000,0.00000
0.36454,0.67568,-0.33333,-1.00000
0.35458,0.62162,-0.13333,-0.50000
0.35060,0.59459,-0.26667,-1.00000
0.34263,0.54054,-0.20000,-1.00000
0.33665,0.48649,-0.20000,-1.00000
0.33068,0.43243,-0.13333,-1.00000
0.32669,0.37838,-0.20000,-1.00000
0.32072,0.32432,-0.20000,-1.00000
0.31474,0.27027,-0.26667,-1.00000
0.30677,0.21622,-0.20000,-0.50000
0.30080,0.18919,-0.26667,-1.00000
0.29283,0.13514,-0.26667,-0.50000
0.28486,0.10811,-0.26667,-0.50000
0.27689,0.08108,-0.26667,0.00000
0.26892,0.08108,-0.40000,-0.50000
0.25697,0.05405,-0.40000,-0.50000
0.24502,0.02703,-0.40000,0.00000
0.23307,0.02703,-0.46667,0.00000
0.21912,0.02703,-0.33333,0.00000
0.20916,0.02703,-0.40000,0.00000
0.19721,0.02703,-0.40000,0.00000
0.18526,0.02703,-0.40000,-0.50000
0.17331,0.00000,-0.33333,0.00000
0.16335,0.00000,-0.33333,0.00000
0.15339,0.00000,-0.33333,0.50000
0.14343,0.02703,-0.40000,0.50000
0.13147,0.05405,-0.20000,0.00000
0.12550,0.05405,-0.33333,0.00000
0.11554,0.05405,-0.20000,0.50000
0.10956,0.08108,-0.20000,0.00000
0.10359,0.08108,-0.33333,0.00000
0.09363,0.08108,-0.26667,0.00000
0.08566,0.08108,-0.13333,0.50000
0.08167,0.10811,-0.20000,0.50000
0.07570,0.13514,-0.13333,0.50000
0.07171,0.16216,-0.20000,0.00000
0.06574,0.16216,-0.26667,0.50000
0.05777,0.18919,-0.20000,0.00000
0.05179,0.18919,-0.20000,0.00000
0.04582,0.18919,-0.26667,0.00000
0.03785,0.18919,-0.26667,0.00000
0.02988,0.18919,-0.13333,0.00000
0.02590,0.18919,-0.06667,-0.50000
0.02390,0.16216,-0.13333,0.00000
0.01992,0.16216,-0.06667,0.00000
0.01793,0.16216,-0.13333,1.00000
0.01394,0.21622,0.00000,0.00000
0.01394,0.21622,-0.06667,0.50000
0.01195,0.24324,-0.06667,0.50000
0.00996,0.27027,-0.06667,0.50000
0.00797,0.29730,-0.13333,0.50000
0.00398,0.32432,-0.06667,0.50000
0.00199,0.35135,-0.06667,0.50000
0.00000,0.37838,0.00000,0.00000
0.00000,0.37838,0.00000,0.00000
