# X, Y, VelX, VelY |[ 85. ;192.5;  0. ;  0. ][455. ; 38.5; 21. ;  4. ]
0.89231,0.68831,-0.47619,-0.25000
0.87033,0.66234,-0.47619,-0.25000
0.84835,0.63636,-0.57143,-0.25000
0.82198,0.61039,-0.61905,-0.50000
0.79341,0.55844,-0.61905,-0.50000
0.76484,0.50649,-0.61905,-0.25000
0.73626,0.48052,-0.66667,-0.50000
0.70549,0.42857,-0.66667,-0.50000
0.67473,0.37662,-0.66667,-0.25000
0.64396,0.35065,-0.71429,-0.50000
0.61099,0.29870,-0.66667,-0.25000
0.58022,0.27273,-0.66667,-0.25000
0.54945,0.24675,-0.66667,0.00000
0.51868,0.24675,-0.71429,-0.25000
0.48571,0.22078,-0.66667,0.00000
0.45495,0.22078,-0.66667,0.00000
0.42418,0.22078,-0.61905,0.25000
0.39560,0.24675,-0.66667,0.00000
0.36484,0.24675,-0.61905,0.25000
0.33626,0.27273,-0.61905,0.25000
0.30769,0.29870,-0.61905,0.00000
0.27912,0.29870,-0.57143,0.25000
0.25275,0.32468,-0.52381,0.25000
0.22857,0.35065,-0.42857,0.00000
0.20879,0.35065,-0.42857,0.25000
0.18901,0.37662,-0.38095,0.00000
0.17143,0.37662,-0.38095,0.25000
0.15385,0.40260,-0.38095,0.25000
0.13626,0.42857,-0.38095,0.25000
0.11868,0.45455,-0.33333,0.00000
0.10330,0.45455,-0.33333,0.00000
0.08791,0.45455,-0.33333,0.00000
0.07253,0.45455,-0.28571,-0.25000
0.05934,0.42857,-0.19048,0.00000
0.05055,0.42857,0.00000,0.00000
0.05055,0.42857,0.00000,0.00000
0.89451,0.58442,-0.19048,-0.25000
0.88571,0.55844,-0.23810,-0.25000
0.87473,0.53247,-0.38095,-0.25000
0.85714,0.50649,-0.38095,-0.25000
0.83956,0.48052,-0.42857,0.00000
0.81978,0.48052,-0.47619,-0.25000
0.79780,0.45455,-0.52381,-0.25000
0.77363,0.42857,-0.57143,0.00000
0.74725,0.42857,-0.52381,0.25000
0.72308,0.45455,-0.61905,-0.25000
0.69451,0.42857,-0.57143,0.00000
0.66813,0.42857,-0.57143,0.00000
0.64176,0.42857,-0.57143,-0.25000
0.61538,0.40260,-0.61905,0.00000
0.58681,0.40260,-0.61905,-0.25000
0.55824,0.37662,-0.61905,-0.25000
0.52967,0.35065,-0.61905,0.00000
0.50110,0.35065,-0.66667,-0.25000
0.47033,0.32468,-0.66667,0.00000
0.43956,0.32468,-0.61905,0.00000
0.41099,0.32468,-0.61905,0.00000
0.38242,0.32468,-0.66667,-0.25000
0.35165,0.29870,-0.57143,0.00000
0.32527,0.29870,-0.61905,0.00000
0.29670,0.29870,-0.57143,0.00000
0.27033,0.29870,-0.57143,0.00000
0.24396,0.29870,-0.52381,-0.25000
0.21978,0.27273,-0.52381,0.25000
0.19560,0.29870,-0.47619,0.00000
0.17363,0.29870,-0.42857,0.00000
0.15385,0.29870,-0.38095,0.25000
0.13626,0.32468,-0.38095,0.25000
0.11868,0.35065,-0.28571,0.25000
0.10549,0.37662,-0.09524,0.25000
0.10110,0.40260,0.00000,-0.25000
0.10110,0.37662,0.00000,0.00000
0.90330,0.45455,0.00000,0.25000
0.90330,0.48052,-0.09524,0.25000
0.89890,0.50649,-0.14286,0.00000
0.89231,0.50649,-0.19048,0.00000
0.88352,0.50649,-0.28571,0.25000
0.87033,0.53247,-0.38095,-0.25000
0.85275,0.50649,-0.47619,0.00000
0.83077,0.50649,-0.52381,-0.25000
0.80659,0.48052,-0.57143,-0.25000
0.78022,0.45455,-0.66667,-0.25000
0.74945,0.42857,-0.66667,-0.25000
0.71868,0.40260,-0.71429,-0.25000
0.68571,0.37662,-0.71429,-0.25000
0.65275,0.35065,-0.76190,-0.25000
0.61758,0.32468,-0.71429,-0.25000
0.58462,0.29870,-0.66667,-0.25000
0.55385,0.27273,-0.71429,0.00000
0.52088,0.27273,-0.71429,-0.25000
0.48791,0.24675,-0.66667,0.00000
0.45714,0.24675,-0.71429,0.00000
0.42418,0.24675,-0.71429,0.00000
0.39121,0.24675,-0.61905,0.00000
0.36264,0.24675,-0.66667,0.25000
0.33187,0.27273,-0.66667,-0.25000
0.30110,0.24675,-0.61905,0.00000
0.27253,0.24675,-0.52381,0.00000
0.24835,0.24675,-0.47619,0.25000
0.22637,0.27273,-0.57143,0.00000
0.20000,0.27273,-0.52381,0.25000
0.17582,0.29870,-0.57143,0.25000
0.14945,0.32468,-0.52381,0.00000
0.12527,0.32468,-0.42857,0.25000
0.10549,0.35065,-0.52381,0.25000
0.08132,0.37662,-0.38095,0.25000
0.06374,0.40260,-0.09524,0.00000
0.05934,0.40260,0.00000,0.00000
0.05934,0.40260,0.00000,0.00000
0.92747,0.74026,-0.09524,0.00000
0.92308,0.74026,-0.19048,-0.25000
0.91429,0.71429,-0.33333,-0.50000
0.89890,0.66234,-0.42857,-0.50000
0.87912,0.61039,-0.47619,-0.50000
0.85714,0.55844,-0.57143,-0.50000
0.83077,0.50649,-0.61905,-0.50000
0.80220,0.45455,-0.66667,-0.50000
0.77143,0.40260,-0.71429,-0.25000
0.73846,0.37662,-0.71429,-0.25000
0.70549,0.35065,-0.71429,0.00000
0.67253,0.35065,-0.76190,-0.25000
0.63736,0.32468,-0.80952,-0.25000
0.60000,0.29870,-0.76190,0.00000
0.56484,0.29870,-0.76190,-0.25000
0.52967,0.27273,-0.80952,-0.25000
0.49231,0.24675,-0.80952,0.00000
0.45495,0.24675,-0.71429,-0.25000
0.42198,0.22078,-0.76190,-0.25000
0.38681,0.19481,-0.71429,-0.25000
0.35385,0.16883,-0.66667,0.00000
0.32308,0.16883,-0.66667,0.00000
0.29231,0.16883,-0.61905,0.00000
0.26374,0.16883,-0.57143,0.00000
0.23736,0.16883,-0.52381,0.00000
0.21319,0.16883,-0.47619,0.00000
0.19121,0.16883,-0.42857,0.00000
0.17143,0.16883,-0.42857,0.25000
0.15165,0.19481,-0.42857,0.00000
0.13187,0.19481,-0.38095,0.25000
0.11429,0.22078,-0.38095,0.00000
0.09670,0.22078,-0.33333,0.25000
0.08132,0.24675,-0.28571,0.00000
0.06813,0.24675,-0.19048,0.00000
0.05934,0.24675,-0.04762,0.00000
0.05714,0.24675,0.04762,0.00000
0.05934,0.24675,0.19048,0.00000
0.06813,0.24675,0.00000,0.00000
0.95604,0.71429,-0.23810,-0.25000
0.94505,0.68831,-0.33333,-0.50000
0.92967,0.63636,-0.42857,-0.25000
0.90989,0.61039,-0.42857,-0.12500
0.89011,0.59740,-0.66667,-0.37500
0.85934,0.55844,-0.61905,-0.25000
0.83077,0.53247,-0.71429,-0.25000
0.79780,0.50649,-0.76190,-0.25000
0.76264,0.48052,-0.85714,-0.25000
0.72308,0.45455,-0.80952,-0.25000
0.68571,0.42857,-0.80952,0.00000
0.64835,0.42857,-0.80952,0.00000
0.61099,0.42857,-0.85714,-0.25000
0.57143,0.40260,-0.90476,0.00000
0.52967,0.40260,-0.85714,0.00000
0.49011,0.40260,-0.85714,0.00000
0.45055,0.40260,-0.80952,0.25000
0.41319,0.42857,-0.80952,0.00000
0.37582,0.42857,-0.71429,0.00000
0.34286,0.42857,-0.71429,0.00000
0.30989,0.42857,-0.71429,0.00000
0.27692,0.42857,-0.61905,-0.25000
0.24835,0.40260,-0.57143,0.00000
0.22198,0.40260,-0.57143,-0.50000
0.19560,0.35065,-0.52381,-0.25000
0.17143,0.32468,-0.47619,-0.25000
0.14945,0.29870,-0.52381,-0.50000
0.12527,0.24675,-0.38095,-0.25000
0.10769,0.22078,-0.28571,-0.25000
0.09451,0.19481,-0.09524,0.00000
0.09011,0.19481,-0.04762,0.00000
0.08791,0.19481,0.00000,0.00000
0.08791,0.19481,0.14286,0.00000
0.09451,0.19481,0.00000,0.00000
0.95824,0.71429,-0.09524,-0.25000
0.95385,0.68831,-0.23810,-0.25000
0.94286,0.66234,-0.33333,-0.50000
0.92747,0.61039,-0.42857,-0.25000
0.90769,0.58442,-0.47619,-0.25000
0.88571,0.55844,-0.52381,-0.50000
0.86154,0.50649,-0.61905,-0.25000
0.83297,0.48052,-0.66667,-0.25000
0.80220,0.45455,-0.71429,-0.25000
0.76923,0.42857,-0.71429,-0.25000
0.73626,0.40260,-0.71429,0.00000
0.70330,0.40260,-0.71429,0.00000
0.67033,0.40260,-0.76190,-0.25000
0.63516,0.37662,-0.80952,0.00000
0.59780,0.37662,-0.80952,0.00000
0.56044,0.37662,-0.85714,-0.25000
0.52088,0.35065,-0.85714,-0.25000
0.48132,0.32468,-0.76190,0.00000
0.44615,0.32468,-0.76190,-0.25000
0.41099,0.29870,-0.76190,0.00000
0.37582,0.29870,-0.66667,-0.25000
0.34505,0.27273,-0.61905,0.00000
0.31648,0.27273,-0.57143,-0.25000
0.29011,0.24675,-0.52381,0.00000
0.26593,0.24675,-0.52381,-0.25000
0.24176,0.22078,-0.52381,0.00000
0.21758,0.22078,-0.47619,-0.25000
0.19560,0.19481,-0.52381,0.00000
0.17143,0.19481,-0.47619,0.00000
0.14945,0.19481,-0.52381,0.00000
0.12527,0.19481,-0.47619,0.00000
0.10330,0.19481,-0.42857,0.00000
0.08352,0.19481,-0.23810,0.00000
0.07253,0.19481,-0.09524,-0.25000
0.06813,0.16883,-0.04762,0.00000
0.06593,0.16883,0.04762,-0.25000
0.06813,0.14286,0.23810,-0.25000
0.07912,0.11688,0.00000,0.00000
0.96923,0.68831,-0.09524,-0.25000
0.96484,0.66234,-0.09524,-0.25000
0.96044,0.63636,-0.23810,0.00000
0.94945,0.63636,-0.38095,-0.25000
0.93187,0.61039,-0.47619,0.00000
0.90989,0.61039,-0.52381,-0.25000
0.88571,0.58442,-0.61905,-0.25000
0.85714,0.55844,-0.71429,-0.25000
0.82418,0.53247,-0.76190,-0.25000
0.78901,0.50649,-0.80952,-0.50000
0.75165,0.45455,-0.80952,-0.25000
0.71429,0.42857,-0.80952,-0.25000
0.67692,0.40260,-0.85714,-0.25000
0.63736,0.37662,-0.80952,-0.25000
0.60000,0.35065,-0.85714,0.00000
0.56044,0.35065,-0.80952,0.00000
0.52308,0.35065,-0.80952,-0.25000
0.48571,0.32468,-0.76190,0.25000
0.45055,0.35065,-0.76190,0.00000
0.41538,0.35065,-0.76190,0.00000
0.38022,0.35065,-0.66667,0.25000
0.34945,0.37662,-0.66667,0.25000
0.31868,0.40260,-0.61905,0.00000
0.29011,0.40260,-0.57143,0.25000
0.26374,0.42857,-0.47619,0.00000
0.24176,0.42857,-0.42857,0.25000
0.22198,0.45455,-0.42857,0.25000
0.20220,0.48052,-0.28571,0.00000
0.18901,0.48052,-0.23810,0.25000
0.17802,0.50649,-0.14286,-0.25000
0.17143,0.48052,-0.14286,0.00000
0.16484,0.48052,-0.09524,-0.25000
0.16044,0.45455,-0.14286,0.00000
0.15385,0.45455,-0.14286,-0.25000
0.14725,0.42857,-0.23810,-0.25000
0.13626,0.40260,-0.23810,0.00000
0.12527,0.40260,-0.57143,0.25000
0.09890,0.42857,-0.52381,0.25000
0.07473,0.45455,-0.23810,0.50000
0.06374,0.50649,-0.04762,0.00000
0.06154,0.50649,0.00000,0.00000
0.94505,0.63636,-0.19048,0.00000
0.93626,0.63636,-0.23810,-0.25000
0.92527,0.61039,-0.42857,0.00000
0.90549,0.61039,-0.47619,-0.25000
0.88352,0.58442,-0.52381,-0.25000
0.85934,0.55844,-0.61905,-0.25000
0.83077,0.53247,-0.71429,-0.25000
0.79780,0.50649,-0.76190,0.00000
0.76264,0.50649,-0.80952,-0.50000
0.72527,0.45455,-0.85714,0.00000
0.68571,0.45455,-0.80952,-0.25000
0.64835,0.42857,-0.85714,-0.25000
0.60879,0.40260,-0.85714,-0.25000
0.56923,0.37662,-0.85714,-0.25000
0.52967,0.35065,-0.76190,0.00000
0.49451,0.35065,-0.80952,-0.25000
0.45714,0.32468,-0.80952,-0.25000
0.41978,0.29870,-0.76190,0.00000
0.38462,0.29870,-0.71429,-0.25000
