# X, Y, VelX, VelY |[ 86.;106.;  0.;  0.][242.;306.; 88.;144.]
0.83471,0.03268,0.00000,0.00000
0.83471,0.03268,0.02273,0.13889
0.84298,0.09804,-0.04545,0.04167
0.82645,0.11765,-0.02273,0.13889
0.81818,0.18301,0.00000,0.37500
0.81818,0.35948,0.00000,0.16667
0.81818,0.43791,0.00000,0.15278
0.81818,0.50980,0.00000,0.45833
0.81818,0.72549,0.00000,0.02778
0.81818,0.73856,-0.02273,0.09722
0.80992,0.78431,0.00000,0.15278
0.80992,0.85621,0.02273,0.02778
0.81818,0.86928,0.00000,0.01389
0.81818,0.87582,0.00000,-0.04167
0.81818,0.85621,0.06818,-0.02778
0.84298,0.84314,0.04545,-0.08333
0.85950,0.80392,0.04545,-0.09722
0.87603,0.75817,0.02273,-0.16667
0.88430,0.67974,0.02273,-0.08333
0.89256,0.64052,-0.04545,-0.04167
0.87603,0.62092,0.04545,-0.05556
0.89256,0.59477,-0.02273,-0.05556
0.88430,0.56863,-0.04545,-0.01389
0.86777,0.56209,-0.02273,-0.01389
0.85950,0.55556,-0.06818,0.01389
0.83471,0.56209,-0.06818,0.01389
0.80992,0.56863,-0.11364,0.05556
0.76860,0.59477,-0.02273,0.00000
0.76033,0.59477,-0.09091,0.05556
0.72727,0.62092,-0.15909,0.08333
0.66942,0.66013,-0.11364,0.04167
0.62810,0.67974,-0.04545,0.01389
0.61157,0.68627,-0.13636,0.05556
0.56198,0.71242,-0.20455,0.05556
0.48760,0.73856,-0.20455,0.04167
0.41322,0.75817,-0.81818,-0.04167
0.11570,0.73856,-0.15909,-0.09722
0.05785,0.69281,-0.02273,-0.04167
0.04959,0.67320,-0.09091,-0.12500
0.01653,0.61438,-0.04545,-0.15278
0.00000,0.54248,0.04545,-0.11111
0.01653,0.49020,0.09091,-0.29167
0.04959,0.35294,0.02273,-0.05556
0.05785,0.32680,0.02273,-0.02778
0.06612,0.31373,0.02273,-0.01389
0.07438,0.30719,0.00000,0.00000
0.07438,0.30719,0.00000,0.04167
0.07438,0.32680,-0.04545,0.04167
0.05785,0.34641,0.18182,0.87500
0.12397,0.75817,0.11364,0.11111
0.16529,0.81046,0.15909,0.09722
0.22314,0.85621,0.15909,0.08333
0.28099,0.89542,0.88636,-0.01389
0.60331,0.88889,0.00000,0.00000
0.82645,0.30065,0.11364,-0.59722
0.86777,0.01961,0.00000,-0.01389
0.86777,0.01307,0.00000,0.00000
0.86777,0.01307,-0.02273,0.00000
0.85950,0.01307,0.02273,0.02778
0.86777,0.02614,0.04545,0.08333
0.88430,0.06536,-0.04545,0.20833
0.86777,0.16340,0.00000,0.20833
0.86777,0.26144,-0.02273,0.18056
0.85950,0.34641,0.00000,0.15278
0.85950,0.41830,0.00000,0.31944
0.85950,0.56863,-0.02273,0.13889
0.85124,0.63399,0.00000,0.25000
