# X, Y, VelX, VelY |[0.;0.;0.;0.][396.;340.;392.;340.]
0.94949,0.73529,-0.01531,0.03529
0.93434,0.77059,0.00510,0.00588
0.93939,0.77647,-0.02041,0.02353
0.91919,0.80000,-0.02041,0.00588
0.89899,0.80588,-0.01020,-0.01176
0.88889,0.79412,-0.01531,0.00000
0.87374,0.79412,-0.01020,-0.01176
0.86364,0.78235,-0.01020,-0.02353
0.85354,0.75882,-0.00510,-0.01765
0.84848,0.74118,-0.00510,-0.02353
0.84343,0.71765,-0.00510,-0.01765
0.83838,0.70000,-0.00510,-0.01176
0.83333,0.68824,-0.00510,-0.02353
0.82828,0.66471,0.00510,-0.01765
0.83333,0.64706,-0.00510,-0.01176
0.82828,0.63529,0.00000,-0.01176
0.82828,0.62353,0.00000,-0.00588
0.82828,0.61765,0.00000,0.00000
0.82828,0.61765,0.00000,0.00000
0.82828,0.61765,0.00000,0.00588
0.82828,0.62353,0.00510,0.01176
0.83333,0.63529,-0.00510,0.01765
0.82828,0.65294,0.00510,0.01765
0.83333,0.67059,0.00000,0.02353
0.83333,0.69412,0.01020,0.01765
0.84343,0.71176,0.03061,0.08824
0.87374,0.80000,0.01020,0.01176
0.88384,0.81176,0.02041,0.02353
0.90404,0.83529,0.02041,0.00588
0.92424,0.84118,0.02041,0.00000
0.94444,0.84118,0.01020,-0.01765
0.95455,0.82353,0.02551,-0.04118
0.97980,0.78235,0.02041,-0.12353
1.00000,0.65882,0.00000,-0.01176
1.00000,0.64706,0.00000,-0.05294
1.00000,0.59412,-0.01020,-0.08824
0.98990,0.50588,-1.00000,-0.50588
0.00000,0.00000,0.99490,0.42941
0.98485,0.42941,-0.01531,-0.01765
0.96970,0.41176,-0.00510,-0.01765
0.96465,0.39412,-0.00510,-0.01176
0.95960,0.38235,-0.01020,-0.00588
0.94949,0.37647,0.00000,-0.00588
0.94949,0.37059,-0.01020,0.00000
0.93939,0.37059,0.00510,0.00000
0.94444,0.37059,0.00000,0.00588
0.94444,0.37647,0.00000,0.00588
0.94444,0.38235,0.00000,0.00588
0.94444,0.38824,0.00510,0.00588
0.94949,0.39412,0.00510,0.01765
0.95455,0.41176,0.00510,0.02353
0.95960,0.43529,0.01020,0.02353
0.96970,0.45882,0.00510,0.04118
0.97475,0.50000,0.00510,0.01765
0.97980,0.51765,0.00000,0.05882
0.97980,0.57647,0.00000,0.04118
0.97980,0.61765,0.00000,0.00588
0.97980,0.62353,0.00000,0.07059
0.97980,0.69412,-0.01020,0.03529
0.96970,0.72941,-0.01531,0.01765
0.95455,0.74706,-0.01020,0.02353
0.94444,0.77059,-0.01020,0.00000
0.93434,0.77059,-0.01531,0.00588
0.91919,0.77647,-0.02041,-0.01176
0.89899,0.76471,-0.00510,-0.01176
0.89394,0.75294,-0.00510,-0.02941
0.88889,0.72353,-0.01020,-0.03529
0.87879,0.68824,-0.88776,-0.68824
0.00000,0.00000,0.87755,0.63529
