# X, Y, VelX, VelY |[  2.;162.;  0.;  0.][290.;314.;102.; 48.]
0.98621,0.08280,0.00000,0.08333
0.98621,0.09554,0.01961,0.12500
0.99310,0.11465,0.00000,0.16667
0.99310,0.14013,0.01961,0.08333
1.00000,0.15287,0.00000,0.16667
1.00000,0.17834,-0.01961,0.16667
0.99310,0.20382,0.00000,0.16667
0.99310,0.22930,0.01961,0.20833
1.00000,0.26115,-0.01961,0.20833
0.99310,0.29299,0.00000,0.16667
0.99310,0.31847,-0.01961,0.29167
0.98621,0.36306,-0.01961,0.16667
0.97931,0.38854,-0.01961,0.37500
0.97241,0.44586,-0.03922,0.29167
0.95862,0.49045,-0.01961,0.16667
0.95172,0.51592,-0.05882,0.41667
0.93103,0.57962,-0.05882,0.29167
0.91034,0.62420,-0.03922,0.12500
0.89655,0.64331,-0.05882,0.29167
0.87586,0.68790,-0.09804,0.25000
0.84138,0.72611,-0.11765,0.37500
0.80000,0.78344,-0.07843,0.16667
0.77241,0.80892,-0.07843,0.12500
0.74483,0.82803,-0.15686,0.29167
0.68966,0.87261,-0.09804,0.12500
0.65517,0.89172,-0.09804,0.08333
0.62069,0.90446,-0.05882,0.04167
0.60000,0.91083,-0.13725,0.12500
0.55172,0.92994,-0.09804,0.00000
0.51724,0.92994,-0.09804,0.00000
0.48276,0.92994,-0.07843,0.04167
0.45517,0.93631,-0.11765,-0.04167
0.41379,0.92994,-0.07843,0.00000
0.38621,0.92994,-0.13725,-0.08333
0.33793,0.91720,-0.09804,0.00000
0.30345,0.91720,-0.07843,-0.12500
0.27586,0.89809,-0.11765,-0.04167
0.23448,0.89172,-0.05882,-0.16667
0.21379,0.86624,-0.07843,-0.04167
0.18621,0.85987,-0.09804,-0.16667
0.15172,0.83439,-0.05882,-0.12500
0.13103,0.81529,-0.05882,-0.12500
0.11034,0.79618,-0.05882,-0.12500
0.08966,0.77707,-0.01961,-0.12500
0.08276,0.75796,-0.03922,-0.12500
0.06897,0.73885,-0.03922,-0.16667
0.05517,0.71338,-0.01961,-0.12500
0.04828,0.69427,-0.01961,-0.12500
0.04138,0.67516,-0.01961,-0.12500
0.03448,0.65605,0.00000,-0.08333
0.03448,0.64331,-0.01961,-0.08333
0.02759,0.63057,-0.01961,-0.04167
0.02069,0.62420,-0.01961,0.00000
0.01379,0.62420,0.01961,0.00000
0.02069,0.62420,-0.01961,0.04167
0.01379,0.63057,0.00000,0.04167
0.01379,0.63694,0.01961,0.12500
0.02069,0.65605,0.01961,0.08333
0.02759,0.66879,0.01961,0.12500
0.03448,0.68790,0.01961,0.25000
0.04138,0.72611,0.05882,0.12500
0.06207,0.74522,0.01961,0.20833
0.06897,0.77707,0.07843,0.25000
0.09655,0.81529,0.07843,0.16667
0.12414,0.84076,0.05882,0.20833
0.14483,0.87261,0.11765,0.20833
0.18621,0.90446,0.09804,0.16667
0.22069,0.92994,0.09804,0.08333
0.25517,0.94268,0.09804,0.08333
0.28966,0.95541,0.11765,0.08333
0.33103,0.96815,0.17647,0.04167
0.39310,0.97452,0.21569,0.00000
0.46897,0.97452,0.13725,-0.04167
0.51724,0.96815,0.07843,-0.04167
0.54483,0.96178,0.19608,-0.25000
0.61379,0.92357,0.05882,-0.08333
0.63448,0.91083,0.17647,-0.37500
0.69655,0.85350,0.11765,-0.29167
0.73793,0.80892,0.07843,-0.29167
0.76552,0.76433,0.05882,-0.25000
0.78621,0.72611,0.07843,-0.33333
0.81379,0.67516,0.07843,-0.37500
0.84138,0.61783,0.03922,-0.20833
0.85517,0.58599,0.05882,-0.33333
0.87586,0.53503,0.03922,-0.33333
0.88966,0.48408,0.03922,-0.29167
0.90345,0.43949,0.03922,-0.33333
0.91724,0.38854,0.05882,-0.41667
0.93793,0.32484,0.00000,-0.16667
0.93793,0.29936,0.03922,-0.25000
0.95172,0.26115,0.00000,-0.33333
0.95172,0.21019,0.01961,-0.25000
0.95862,0.17197,0.03922,-0.20833
0.97241,0.14013,0.00000,-0.12500
0.97241,0.12102,0.00000,-0.16667
0.97241,0.09554,0.01961,-0.08333
0.97931,0.08280,-0.03922,-0.08333
0.96552,0.07006,0.00000,-0.08333
0.96552,0.05732,-0.01961,-0.08333
0.95862,0.04459,0.00000,0.00000
0.95862,0.04459,-0.01961,0.00000
0.95172,0.04459,0.00000,-0.04167
0.95172,0.03822,-0.01961,0.08333
0.94483,0.05096,-0.01961,0.00000
0.93793,0.05096,0.01961,0.12500
0.94483,0.07006,0.01961,0.08333
0.95172,0.08280,-0.03922,0.12500
0.93793,0.10191,0.03922,0.12500
0.95172,0.12102,-0.01961,0.08333
0.94483,0.13376,0.00000,0.20833
0.94483,0.16561,0.00000,0.16667
0.94483,0.19108,0.00000,0.16667
0.94483,0.21656,0.00000,0.16667
0.94483,0.24204,-0.01961,0.20833
0.93793,0.27389,0.00000,0.50000
0.93793,0.35032,-0.01961,0.54167
