# X, Y, VelX, VelY |[307.; 37.;  0.;  0.][ 21.;397.;  4.;140.]
0.09524,0.94962,-0.25000,0.00000
0.04762,0.94962,0.00000,0.00714
0.04762,0.95214,-0.25000,0.00000
0.00000,0.95214,0.00000,0.00000
0.00000,0.95214,0.00000,0.00000
0.00000,0.95214,0.00000,0.00000
0.00000,0.95214,0.25000,-0.01429
0.04762,0.94710,0.00000,-0.00714
0.04762,0.94458,0.00000,-0.00714
0.04762,0.94207,0.00000,-0.00714
0.04762,0.93955,0.00000,-0.00714
0.04762,0.93703,0.00000,0.00000
