# X, Y, VelX, VelY |[ 74.;128.;  0.;  0.][328.;272.;108.;184.]
0.74390,0.58824,-0.11111,0.08696
0.70732,0.64706,-0.05556,0.02174
0.68902,0.66176,-0.12963,0.07609
0.64634,0.71324,-0.07407,0.04348
0.62195,0.74265,-0.07407,0.03261
0.59756,0.76471,-0.09259,0.03261
0.56707,0.78676,-0.07407,0.02174
0.54268,0.80147,-0.07407,0.03261
0.51829,0.82353,-0.09259,0.01087
0.48780,0.83088,-0.14815,0.00000
0.43902,0.83088,-0.24074,0.00000
0.35976,0.83088,-0.09259,-0.04348
0.32927,0.80147,-0.11111,-0.01087
0.29268,0.79412,-0.05556,-0.04348
0.27439,0.76471,-0.12963,-0.04348
0.23171,0.73529,-0.07407,-0.04348
0.20732,0.70588,-0.03704,-0.04348
0.19512,0.67647,-0.05556,-0.04348
0.17683,0.64706,-0.05556,-0.05435
0.15854,0.61029,-0.05556,-0.05435
0.14024,0.57353,-0.01852,-0.05435
0.13415,0.53676,-0.03704,-0.05435
0.12195,0.50000,0.01852,-0.05435
0.12805,0.46324,0.00000,-0.04348
0.12805,0.43382,0.00000,-0.03261
0.12805,0.41176,0.01852,-0.02174
0.13415,0.39706,0.00000,-0.02174
0.13415,0.38235,0.01852,0.00000
0.14024,0.38235,0.00000,0.02174
0.14024,0.39706,0.00000,0.01087
0.14024,0.40441,-0.01852,0.04348
0.13415,0.43382,0.01852,0.06522
0.14024,0.47794,-0.03704,0.04348
0.12805,0.50735,0.03704,0.10870
0.14024,0.58088,0.00000,0.08696
0.14024,0.63971,0.03704,0.05435
0.15244,0.67647,0.11111,0.19565
0.18902,0.80882,0.11111,0.06522
0.22561,0.85294,0.09259,0.05435
0.25610,0.88971,0.07407,0.03261
0.28049,0.91176,0.09259,0.03261
0.31098,0.93382,0.09259,0.01087
0.34146,0.94118,0.24074,0.01087
0.42073,0.94853,0.09259,-0.02174
0.45122,0.93382,0.11111,-0.08696
0.48780,0.87500,0.18519,-0.42391
0.54878,0.58824,0.18519,-0.48913
0.60976,0.25735,0.05556,-0.13043
0.62805,0.16912,0.03704,-0.03261
0.64024,0.14706,0.00000,-0.05435
0.64024,0.11029,0.00000,-0.01087
0.64024,0.10294,-0.01852,0.01087
0.63415,0.11029,-0.01852,0.01087
0.62805,0.11765,-0.03704,0.05435
0.61585,0.15441,-0.03704,0.04348
0.60366,0.18382,-0.07407,0.14130
0.57927,0.27941,-0.03704,0.06522
0.56707,0.32353,-0.01852,0.07609
0.56098,0.37500,-0.03704,0.07609
0.54878,0.42647,-0.07407,0.19565
0.52439,0.55882,-0.01852,0.21739
0.51829,0.70588,-0.01852,0.07609
0.51220,0.75735,-0.05556,0.10870
0.49390,0.83088,0.00000,0.05435
0.49390,0.86765,-0.05556,0.02174
0.47561,0.88235,0.00000,0.02174
0.47561,0.89706,-0.03704,0.00000
0.46341,0.89706,-0.05556,-0.01087
0.44512,0.88971,-0.05556,-0.05435
0.42683,0.85294,-0.01852,-0.07609
0.42073,0.80147,-0.03704,-0.03261
0.40854,0.77941,-0.01852,-0.15217
0.40244,0.67647,0.00000,-0.28261
0.40244,0.48529,0.05556,-0.04348
0.42073,0.45588,0.07407,-0.14130
0.44512,0.36029,0.01852,-0.03261
0.45122,0.33824,0.09259,-0.04348
0.48171,0.30882,0.03704,-0.01087
0.49390,0.30147,0.09259,-0.01087
0.52439,0.29412,0.05556,0.00000
0.54268,0.29412,0.03704,0.02174
